Community,Region,N.Sp.doc,N.Sp.c.doc,N.Sp.r.doc,N.Sp.basal.doc,Per.basal.doc,Per.inter.doc,Per.top.doc,N.links.doc,N.Sp.inf95.10p,N.Sp.c.inf95.10p,N.Sp.r.inf95.10p,N.Sp.basal.inf95.10p,Per.basal.inf95.10p,Per.inter.inf95.10p,Per.top.inf95.10p,N.links.inf95.10p,cr.ratio,mass.log.c,mass.log.r,link.d,link.d.weighted.body.size.model.p,link.d.weighted.allometric.model.p,generality.sp,generality.weighted.body.size.model.p,generality.weighted.allometric.model.p,generality.sp.normalized,generality.weighted.body.size.model.p.normalized,generality.weighted.allometric.model.p.normalized,vulnerability.sp,vulnerability.weighted.body.size.model.p,vulnerability.weighted.allometric.model.p,vulnerability.sp.normalized,vulnerability.weighted.body.size.model.p.normalized,vulnerability.weighted.allometric.model.p.normalized,resource.hv.alpha.m.inf,resource.hv.beta.m.inf
Aberdare,Afrotropic,50,12,47,38,0.76,0.18,0.06,121,54,12,51,42,0.78,0.17,0.06,132,0.285714286,4.089,4.15,2.44,1.04,0.74,11,4.7,3.3,4.5,4.5,4.5,2.6,1.1,0.8,1.1,1.1,1.1,56819.3,0.26
Abijatta Shalla,Afrotropic,31,9,30,22,0.71,0.26,0.03,73,32,11,31,21,0.66,0.31,0.03,86,0.523809524,4.063,4.108,2.69,0.98,0.93,7.8,2.9,2.7,2.9,3,2.9,2.8,1,1,1,1,1.1,53645.8,0.32
Abou Telfane,Afrotropic,31,11,31,20,0.65,0.35,0,87,32,11,32,21,0.66,0.34,0,92,0.523809524,4.308,4.276,2.88,1.43,0.86,8.4,4.1,2.5,2.9,2.9,2.9,2.9,1.4,0.9,1,1,1,67609.9,0.27
Addax,Afrotropic,12,7,8,5,0.42,0.25,0.33,21,13,8,9,5,0.38,0.31,0.31,25,1.6,4.163,4.01,1.92,0.66,0.73,3.1,1.1,1.2,1.6,1.7,1.6,2.8,1,1.1,1.5,1.5,1.5,54993.58,0.29
Ai Ais,Afrotropic,33,11,30,22,0.67,0.24,0.09,96,33,11,30,22,0.67,0.24,0.09,104,0.5,3.783,3.881,3.15,0.93,1.1,9.5,2.8,3.3,3,3,3,3.5,1,1.2,1.1,1.1,1.1,45697.9,0.29
Air and Tenere,Afrotropic,16,10,11,6,0.38,0.31,0.31,29,19,10,14,9,0.47,0.26,0.26,37,1.111111111,4.096,4.104,1.95,0.74,0.75,3.7,1.4,1.4,1.9,1.9,1.9,2.6,1,1,1.3,1.4,1.3,54141.98,0.3
Akagera,Afrotropic,57,11,56,46,0.81,0.18,0.02,139,61,12,60,49,0.8,0.18,0.02,157,0.244897959,4.151,4.279,2.57,1.33,0.73,13.1,6.8,3.7,5.1,5.1,5.1,2.6,1.4,0.7,1,1.1,1,58863.93,0.2
Amboseli,Afrotropic,49,13,48,36,0.73,0.24,0.02,191,51,13,50,38,0.75,0.24,0.02,208,0.342105263,4.268,4.465,4.08,1.89,1.23,16,7.4,4.8,3.9,3.9,3.9,4.2,1.9,1.3,1,1,1.1,66861.3,0.3
Ansongo Menaka,Afrotropic,11,7,8,4,0.36,0.36,0.27,20,11,7,8,4,0.36,0.36,0.27,20,1.75,3.882,3.606,1.82,0.18,0.71,2.9,0.3,1.1,1.6,1.7,1.5,2.5,0.2,1,1.4,1.1,1.4,36539.74,0.43
Arabuko Sokoke,Afrotropic,23,3,20,20,0.87,0,0.13,26,25,3,22,22,0.88,0,0.12,29,0.136363636,4.114,4.154,1.16,0.69,0.34,9.7,5.8,2.8,8.4,8.4,8.2,1.3,0.8,0.4,1.1,1.2,1.2,81155.44,0.31
Arawale,Afrotropic,25,8,23,17,0.68,0.24,0.08,72,28,8,26,20,0.71,0.21,0.07,88,0.4,4.299,4.669,3.14,1.48,0.8,11,5.2,2.8,3.5,3.5,3.5,3.4,1.6,0.9,1.1,1.1,1.1,72906.87,0.3
Arly Partial,Afrotropic,37,10,35,27,0.73,0.22,0.05,107,38,10,36,28,0.74,0.21,0.05,114,0.357142857,4.318,4.417,3,1.64,0.88,11.4,6.2,3.3,3.8,3.8,3.8,3.2,1.7,0.9,1.1,1,1,74264.48,0.29
Arly Total,Afrotropic,36,10,34,26,0.72,0.22,0.06,105,37,10,35,27,0.73,0.22,0.05,112,0.37037037,4.318,4.36,3.03,1.65,0.9,11.2,6.1,3.3,3.7,3.7,3.7,3.2,1.7,1,1.1,1,1.1,74264.48,0.29
Arusha,Afrotropic,48,9,46,39,0.81,0.15,0.04,121,52,9,50,43,0.83,0.13,0.04,129,0.209302326,4.166,4.228,2.48,1.17,0.73,14.3,6.8,4.2,5.8,5.8,5.8,2.6,1.2,0.8,1,1,1.1,66393.67,0.29
Awash,Afrotropic,36,12,35,24,0.67,0.31,0.03,123,40,14,39,26,0.65,0.32,0.03,150,0.538461538,4.211,4.311,3.75,1.69,1.27,10.7,4.8,3.6,2.9,2.8,2.8,3.8,1.7,1.3,1,1,1,63926.2,0.3
Badiar,Afrotropic,39,9,37,30,0.77,0.18,0.05,100,42,9,40,33,0.79,0.17,0.05,114,0.272727273,4.276,4.169,2.71,1.43,0.8,12.7,6.7,3.7,4.7,4.7,4.6,2.9,1.5,0.8,1.1,1,1,74857.51,0.27
Bahr Salamat,Afrotropic,42,12,41,30,0.71,0.26,0.02,122,43,12,42,31,0.72,0.26,0.02,130,0.387096774,4.314,4.448,3.02,1.58,0.87,10.8,5.7,3.1,3.6,3.6,3.6,3.1,1.6,0.9,1,1,1,68437.13,0.28
Bale,Afrotropic,32,9,31,23,0.72,0.25,0.03,82,34,11,34,23,0.68,0.32,0,97,0.47826087,4.14,4.157,2.85,1.33,0.93,8.8,4.1,2.9,3.1,3.1,3.1,2.9,1.3,0.9,1,1,1,61406.43,0.24
Banc dArguin,Afrotropic,7,5,4,2,0.29,0.29,0.43,8,7,5,4,2,0.29,0.29,0.43,8,2.5,4.087,3.965,1.14,0.11,0.55,1.6,0.2,0.8,1.4,1.8,1.5,2,0.2,1,1.8,1.8,1.8,41214.75,0.35
Bangweulu,Afrotropic,48,9,47,39,0.81,0.17,0.02,138,51,9,50,42,0.82,0.16,0.02,151,0.214285714,4.371,4.361,2.96,1.63,0.82,16.8,9.2,4.6,5.7,5.6,5.6,3,1.7,0.8,1,1,1,71242.3,0.23
Banhine,Afrotropic,51,14,48,37,0.73,0.22,0.06,210,52,14,49,38,0.73,0.21,0.06,216,0.368421053,4.216,4.334,4.15,1.84,1.2,15.4,6.8,4.4,3.7,3.7,3.7,4.4,1.9,1.3,1.1,1,1.1,64851.94,0.27
Bazaruto,Afrotropic,27,8,21,19,0.7,0.07,0.22,42,28,8,22,20,0.71,0.07,0.21,46,0.4,4.065,3.918,1.64,0.74,0.6,5.8,2.6,2.1,3.5,3.5,3.5,2.1,0.9,0.8,1.3,1.2,1.3,50774.22,0.22
Benoue,Afrotropic,43,11,42,32,0.74,0.23,0.02,128,44,11,43,33,0.75,0.23,0.02,141,0.333333333,4.293,4.316,3.2,1.68,0.94,12.8,6.7,3.7,4,4,3.9,3.3,1.7,1,1,1,1.1,70153.23,0.28
Bicuar,Afrotropic,48,12,46,36,0.75,0.21,0.04,183,50,12,48,38,0.76,0.2,0.04,191,0.315789474,4.198,4.316,3.82,1.76,1.07,15.9,7.3,4.5,4.2,4.1,4.2,4,1.8,1.1,1,1,1,68030.51,0.29
Binder Lere,Afrotropic,37,10,34,27,0.73,0.19,0.08,85,38,10,35,28,0.74,0.18,0.08,95,0.357142857,4.205,4.318,2.5,1.24,0.76,9.5,4.7,2.9,3.8,3.8,3.8,2.7,1.3,0.8,1.1,1,1.1,61328.64,0.28
Bontioli,Afrotropic,32,9,30,23,0.72,0.22,0.06,84,33,9,31,24,0.73,0.21,0.06,89,0.375,4.276,4.277,2.7,1.45,0.82,9.9,5.3,3,3.7,3.7,3.7,2.9,1.5,0.9,1.1,1,1.1,74857.51,0.27
Boumba Bek,Afrotropic,36,5,32,31,0.86,0.03,0.11,41,39,5,35,34,0.87,0.03,0.1,45,0.147058824,3.822,4.032,1.15,0.69,0.39,9,5.4,3,7.8,7.8,7.7,1.3,0.8,0.4,1.1,1.2,1,39603.79,0.04
Budongo,Afrotropic,45,8,44,37,0.82,0.16,0.02,72,48,8,47,40,0.83,0.15,0.02,81,0.2,4.014,4.109,1.69,0.86,0.53,10.1,5.2,3.2,6,6,6,1.7,0.9,0.5,1,1,0.9,55035.66,0.24
Buffalo,Afrotropic,39,10,37,29,0.74,0.21,0.05,129,41,10,39,31,0.76,0.2,0.05,138,0.322580645,4.24,4.106,3.37,1.52,1.08,13.8,6.2,4.4,4.1,4.1,4.1,3.5,1.6,1.1,1,1.1,1,72350.42,0.29
Bururi Forest,Afrotropic,44,7,41,37,0.84,0.09,0.07,63,46,7,43,39,0.85,0.09,0.07,71,0.179487179,4.115,4.073,1.54,0.82,0.48,10.1,5.4,3.2,6.6,6.6,6.7,1.7,0.9,0.5,1.1,1.1,1,59137.8,0.18
Cameia,Afrotropic,43,8,42,35,0.81,0.16,0.02,116,45,8,44,37,0.82,0.16,0.02,132,0.216216216,4.376,4.313,2.93,1.59,0.72,16.5,8.9,4.1,5.6,5.6,5.7,3,1.6,0.7,1,1,1,80993.47,0.3
Campo Maan,Afrotropic,38,5,34,33,0.87,0.03,0.11,44,40,6,35,34,0.85,0.03,0.12,47,0.176470588,3.852,4.01,1.18,0.67,0.37,7.8,4.5,2.5,6.6,6.7,6.8,1.3,0.8,0.4,1.1,1.2,1.1,37445.59,0.04
Cangandala,Afrotropic,39,9,37,30,0.77,0.18,0.05,99,41,9,39,32,0.78,0.17,0.05,113,0.28125,4.276,4.156,2.76,1.4,0.75,12.6,6.4,3.4,4.6,4.6,4.5,2.9,1.5,0.8,1.1,1.1,1.1,74857.51,0.27
Chobe,Afrotropic,53,12,51,41,0.77,0.19,0.04,226,54,12,52,42,0.78,0.19,0.04,242,0.285714286,4.311,4.588,4.48,2.15,1.21,20.2,9.7,5.4,4.5,4.5,4.5,4.7,2.2,1.3,1,1,1.1,73512.53,0.33
Cliff of Bandiagara,Afrotropic,20,9,18,11,0.55,0.35,0.1,38,21,9,19,12,0.57,0.33,0.1,40,0.75,4.082,3.951,1.9,0.72,0.62,4.4,1.7,1.4,2.3,2.4,2.3,2.1,0.8,0.7,1.1,1.1,1.1,56808.49,0.27
Comoe,Afrotropic,52,9,50,43,0.83,0.13,0.04,107,54,9,52,45,0.83,0.13,0.04,123,0.2,4.166,4.273,2.28,1.26,0.62,13.7,7.6,3.7,6,6,6,2.4,1.3,0.6,1.1,1,1,63645.53,0.15
Conkouati Douli,Afrotropic,38,6,33,32,0.84,0.03,0.13,44,39,6,34,33,0.85,0.03,0.13,47,0.181818182,3.852,3.99,1.21,0.67,0.37,7.8,4.4,2.4,6.4,6.6,6.5,1.4,0.8,0.4,1.2,1.2,1.1,37445.59,0.04
Daan Viljoen,Afrotropic,35,10,32,25,0.71,0.2,0.09,123,36,10,33,26,0.72,0.19,0.08,132,0.384615385,3.996,4.131,3.67,1.16,1.04,13.2,4.2,3.8,3.6,3.6,3.7,4,1.3,1.1,1.1,1.1,1.1,55898.73,0.39
Deux Bales,Afrotropic,32,8,31,24,0.75,0.22,0.03,76,33,8,32,25,0.76,0.21,0.03,80,0.32,4.262,4.344,2.42,1.33,0.72,10,5.5,3,4.1,4.1,4.2,2.5,1.4,0.7,1,1.1,1,74522.62,0.26
Etosha,Afrotropic,45,13,43,32,0.71,0.24,0.04,206,47,13,45,34,0.72,0.23,0.04,220,0.382352941,4.179,4.31,4.68,1.91,1.2,16.9,6.9,4.3,3.6,3.6,3.6,4.9,2,1.3,1,1,1.1,69683.84,0.34
Fada Archei,Afrotropic,12,4,10,8,0.67,0.17,0.17,12,12,5,10,7,0.58,0.25,0.17,15,0.714285714,4.514,4.111,1.25,0.5,0.42,3,1.2,1,2.4,2.4,2.4,1.5,0.6,0.5,1.2,1.2,1.2,74118.03,0.27
Gambella,Afrotropic,44,12,43,32,0.73,0.25,0.02,145,45,13,44,32,0.71,0.27,0.02,162,0.40625,4.186,4.432,3.6,1.84,0.98,12.5,6.4,3.4,3.5,3.5,3.5,3.7,1.9,1,1,1,1,65031.29,0.29
Garamba,Afrotropic,51,8,49,43,0.84,0.12,0.04,97,55,8,53,47,0.85,0.11,0.04,114,0.170212766,4.247,4.319,2.07,1.21,0.53,14.2,8.3,3.6,6.9,6.9,6.8,2.2,1.3,0.6,1.1,1.1,1.1,71545.46,0.19
Gile,Afrotropic,44,9,42,35,0.8,0.16,0.05,114,45,9,43,36,0.8,0.16,0.04,120,0.25,4.336,4.441,2.67,1.51,0.68,13.3,7.6,3.4,5,5,5,2.8,1.6,0.7,1,1.1,1,72198.89,0.24
Gishwati,Afrotropic,47,9,45,38,0.81,0.15,0.04,65,50,10,48,40,0.8,0.16,0.04,76,0.25,3.97,3.956,1.52,0.81,0.5,7.6,4.1,2.5,5,5.1,5,1.6,0.8,0.5,1.1,1,1,44906.74,0.12
Golden Gate Highlands,Afrotropic,30,6,27,24,0.8,0.1,0.1,48,30,6,27,24,0.8,0.1,0.1,51,0.25,3.609,4.051,1.7,0.27,0.49,8.5,1.4,2.4,5,5.2,4.9,1.9,0.3,0.5,1.1,1.1,1,31171.82,0.23
Gombe,Afrotropic,44,9,41,35,0.8,0.14,0.07,93,48,10,45,38,0.79,0.15,0.06,111,0.263157895,4.17,4.044,2.31,1.22,0.65,11.1,5.9,3.1,4.8,4.8,4.8,2.5,1.3,0.7,1.1,1.1,1.1,65551.64,0.17
Gonarezhou,Afrotropic,59,13,57,46,0.78,0.19,0.03,248,60,13,58,47,0.78,0.18,0.03,256,0.276595745,4.273,4.452,4.27,2,1.08,19.7,9.2,5,4.6,4.6,4.6,4.4,2.1,1.1,1,1,1,67858.26,0.28
Gorongosa,Afrotropic,50,10,48,40,0.8,0.16,0.04,162,51,10,49,41,0.8,0.16,0.04,170,0.243902439,4.294,4.405,3.33,1.73,0.9,17,8.8,4.6,5.1,5.1,5.1,3.5,1.8,0.9,1.1,1,1,69957.67,0.26
Hells Gate,Afrotropic,41,11,39,30,0.73,0.22,0.05,97,42,11,40,31,0.74,0.21,0.05,102,0.35483871,4.061,4.353,2.43,0.62,0.76,9.3,2.4,2.9,3.8,3.9,3.8,2.5,0.7,0.8,1,1.1,1.1,46216.7,0.32
Hluhluwe,Afrotropic,51,10,49,41,0.8,0.16,0.04,164,53,10,51,43,0.81,0.15,0.04,174,0.23255814,4.295,4.437,3.28,1.71,0.89,17.4,9,4.7,5.3,5.3,5.3,3.4,1.8,0.9,1,1.1,1,72538.23,0.29
Hwange,Afrotropic,54,14,51,40,0.74,0.2,0.06,238,55,14,52,41,0.75,0.2,0.05,246,0.341463415,4.216,4.391,4.47,2.01,1.23,17.6,7.9,4.8,3.9,3.9,3.9,4.7,2.1,1.3,1.1,1,1.1,64851.94,0.27
Iona,Afrotropic,40,14,38,26,0.65,0.3,0.05,166,42,14,40,28,0.67,0.29,0.05,182,0.5,4.131,4.194,4.33,1.73,1.32,13,5.2,4,3,3,3,4.6,1.8,1.4,1.1,1,1.1,64738.29,0.29
Kabore Tambi,Afrotropic,34,10,33,24,0.71,0.26,0.03,91,35,10,34,25,0.71,0.26,0.03,96,0.4,4.302,4.24,2.74,1.44,0.84,9.6,5,2.9,3.5,3.5,3.5,2.8,1.5,0.9,1,1,1.1,72327.76,0.27
Kafue,Afrotropic,51,10,49,41,0.8,0.16,0.04,158,54,10,52,44,0.81,0.15,0.04,173,0.227272727,4.373,4.441,3.2,1.78,0.83,17.3,9.6,4.5,5.4,5.4,5.4,3.3,1.9,0.9,1,1.1,1.1,71871.73,0.26
Kafue Flats,Afrotropic,37,8,34,29,0.78,0.14,0.08,101,40,8,37,32,0.8,0.12,0.07,113,0.25,4.357,4.586,2.83,1.44,0.73,14.1,7.2,3.7,5,5,5.1,3.1,1.6,0.8,1.1,1.1,1.1,62627.6,0.24
Kakamega,Afrotropic,27,4,26,23,0.85,0.11,0.04,34,31,5,30,26,0.84,0.13,0.03,42,0.192307692,4.082,3.9,1.35,0.8,0.45,8.4,5,2.8,6.2,6.2,6.2,1.4,0.8,0.5,1,1,1.1,63184.97,0.08
Kapama,Afrotropic,52,13,49,39,0.75,0.19,0.06,174,52,13,49,39,0.75,0.19,0.06,179,0.333333333,4.102,4.486,3.44,1.7,1.01,13.8,6.8,4,4,4,4,3.7,1.8,1.1,1.1,1.1,1.1,58874.02,0.25
Kasungu,Afrotropic,50,10,48,40,0.8,0.16,0.04,156,52,10,50,42,0.81,0.15,0.04,163,0.238095238,4.373,4.437,3.13,1.73,0.82,16.3,9,4.3,5.2,5.2,5.2,3.3,1.8,0.9,1.1,1,1.1,71871.73,0.26
Kgalagadi Transfrontier,Afrotropic,33,13,31,20,0.61,0.33,0.06,147,33,13,31,20,0.61,0.33,0.06,148,0.65,4.179,4.216,4.48,1.8,1.39,11.4,4.6,3.5,2.5,2.6,2.5,4.8,1.9,1.5,1.1,1.1,1.1,69683.84,0.34
Khaudum,Afrotropic,37,11,35,26,0.7,0.24,0.05,141,39,11,37,28,0.72,0.23,0.05,147,0.392857143,4.282,4.354,3.77,1.76,0.97,13.4,6.2,3.4,3.6,3.5,3.5,4,1.9,1,1.1,1.1,1,72039.23,0.3
Kibale,Afrotropic,52,9,51,43,0.83,0.15,0.02,100,57,10,56,47,0.82,0.16,0.02,122,0.212765957,4.135,4.106,2.14,1.2,0.63,12.2,6.9,3.6,5.7,5.8,5.7,2.2,1.2,0.6,1,1,1,60702.04,0.16
Kibira,Afrotropic,41,7,38,34,0.83,0.1,0.07,53,44,8,41,36,0.82,0.11,0.07,63,0.222222222,4.017,3.855,1.43,0.76,0.44,7.9,4.2,2.4,5.5,5.5,5.5,1.5,0.8,0.5,1,1.1,1.1,52447.58,0.13
Kidepo Valley,Afrotropic,46,11,46,35,0.76,0.24,0,153,49,11,49,38,0.78,0.22,0,167,0.289473684,4.23,4.348,3.41,1.62,0.93,15.2,7.2,4.2,4.5,4.4,4.5,3.4,1.6,0.9,1,1,1,69248.63,0.3
Kilimanjaro,Afrotropic,39,8,38,31,0.79,0.18,0.03,105,44,8,43,36,0.82,0.16,0.02,119,0.222222222,4.299,4.24,2.7,1.46,0.7,14.9,8,3.8,5.5,5.5,5.4,2.8,1.5,0.7,1,1,1,77904.58,0.27
Kizigo,Afrotropic,56,14,54,42,0.75,0.21,0.04,210,59,14,57,45,0.76,0.2,0.03,218,0.311111111,4.209,4.264,3.69,1.73,1.03,15.6,7.3,4.3,4.2,4.2,4.2,3.8,1.8,1.1,1,1,1.1,61983.46,0.25
Knysna,Afrotropic,24,5,21,19,0.79,0.08,0.12,38,24,5,21,19,0.79,0.08,0.12,40,0.263157895,3.969,3.768,1.67,0.73,0.63,8,3.5,3,4.8,4.8,4.8,1.9,0.8,0.7,1.1,1.1,1.1,60411,0.32
Korup,Afrotropic,29,5,25,24,0.83,0.03,0.14,33,34,6,29,28,0.82,0.03,0.15,39,0.214285714,3.852,3.939,1.15,0.66,0.38,6.5,3.8,2.2,5.7,5.8,5.8,1.3,0.8,0.4,1.1,1.2,1.1,37445.59,0.04
Kourtiagou,Afrotropic,36,10,34,26,0.72,0.22,0.06,105,37,10,35,27,0.73,0.22,0.05,112,0.37037037,4.318,4.36,3.03,1.65,0.9,11.2,6.1,3.3,3.7,3.7,3.7,3.2,1.7,1,1.1,1,1.1,74264.48,0.29
Kruger,Afrotropic,56,14,53,42,0.75,0.2,0.05,229,57,14,54,43,0.75,0.19,0.05,238,0.325581395,4.216,4.485,4.18,1.98,1.09,17,8.1,4.5,4.1,4.1,4.1,4.4,2.1,1.2,1.1,1.1,1.1,64851.94,0.27
Lac Fitri,Afrotropic,23,11,23,12,0.52,0.48,0,56,24,11,24,13,0.54,0.46,0,59,0.846153846,4.308,4.197,2.46,1.14,0.87,5.4,2.5,1.9,2.2,2.2,2.2,2.5,1.1,0.9,1,1,1,67609.9,0.27
Lac Tele,Afrotropic,36,5,32,31,0.86,0.03,0.11,42,39,5,35,34,0.87,0.03,0.1,47,0.147058824,3.822,4.009,1.21,0.69,0.38,9.4,5.3,3,7.8,7.7,7.9,1.3,0.8,0.4,1.1,1.2,1.1,39603.79,0.04
Lake Manyara,Afrotropic,53,11,53,42,0.79,0.21,0,170,58,11,58,47,0.81,0.19,0,188,0.234042553,4.254,4.292,3.24,1.55,0.97,17.1,8.1,5.1,5.3,5.2,5.3,3.2,1.5,1,1,1,1,69157.84,0.3
Lake Mweru,Afrotropic,40,6,39,34,0.85,0.12,0.03,86,42,6,41,36,0.86,0.12,0.02,98,0.166666667,4.465,4.499,2.33,1.45,0.57,16.3,10.1,4,7,7,7,2.4,1.5,0.6,1,1,1.1,78572.49,0.19
